,Label ID,Name,URL,Functional Group,Popularity %,Short Code,Duplicate,Duplicate Notes,Verified,Has Calcification Rates
171,1941,Acropora subgenus Isopora,https://coralnet.ucsd.edu/label/1941/,Hard coral,46,Acr_Iso,True,Duplicate of Isopora,False,False
172,627,Acropora (submassive),https://coralnet.ucsd.edu/label/627/,Hard coral,75,Acr_sub,False,,True,False
173,6293,Acropora subulata,https://coralnet.ucsd.edu/label/6293/,Hard coral,26,subulata,False,,False,False
174,6259,Acropora sukarnoi,https://coralnet.ucsd.edu/label/6259/,Hard coral,26,sukarnoi,False,,False,False
175,6216,Acropora surculosa,https://coralnet.ucsd.edu/label/6216/,Hard coral,44,AcrSur,False,,False,False
176,6920,Acropora_tables_or_plates,https://coralnet.ucsd.edu/label/6920/,Hard coral,44,Acr_ta_pl,False,,False,False
177,4951,Acropora_tabular,https://coralnet.ucsd.edu/label/4951/,Hard coral,62,acrtab,False,,False,False
178,187,Acropora (tabulate),https://coralnet.ucsd.edu/label/187/,Hard coral,81,Acr_tab,False,,True,True
179,4587,Acropora tabulate (pale),https://coralnet.ucsd.edu/label/4587/,Hard coral,0,PAcr_tab,False,,False,False
180,6307,Acropora tenella,https://coralnet.ucsd.edu/label/6307/,Hard coral,26,tenella,False,,False,False
181,4742,Acropora tenuis,https://coralnet.ucsd.edu/label/4742/,Hard coral,57,AcrTen,False,,True,False
182,3078,Acropora tortuosa,https://coralnet.ucsd.edu/label/3078/,Hard coral,38,AcrTort,False,,True,False
183,6288,Acropora tumida,https://coralnet.ucsd.edu/label/6288/,Hard coral,26,tumida,False,,False,False
184,6279,Acropora valenciennesi,https://coralnet.ucsd.edu/label/6279/,Hard coral,31,valencienn,False,,False,False
185,2435,Acropora valida,https://coralnet.ucsd.edu/label/2435/,Hard coral,59,AcrVal,False,,True,False
186,6294,Acropora verweyi,https://coralnet.ucsd.edu/label/6294/,Hard coral,42,verweyi,False,,False,False
187,6295,Acropora willisae,https://coralnet.ucsd.edu/label/6295/,Hard coral,26,willisae,False,,False,False
188,5760,Acropora yongei,https://coralnet.ucsd.edu/label/5760/,Hard coral,31,AYG,False,,False,False
189,168,Acroporidae (branching),https://coralnet.ucsd.edu/label/168/,Hard coral,81,ACR_br,False,,True,False
190,2590,Acroporidae branching bleached (white),https://coralnet.ucsd.edu/label/2590/,Hard coral,66,ACR-BRA-B*,False,,False,False
191,804,Acroporidae (hispidose),https://coralnet.ucsd.edu/label/804/,Hard coral,69,ACR_hi,False,,True,False
192,2591,Acroporidae hispidose bleached,https://coralnet.ucsd.edu/label/2591/,Hard coral,52,ACR-HIP-B*,False,,False,False
193,974,Acroporidae Other,https://coralnet.ucsd.edu/label/974/,Hard coral,75,ACR-OTH,False,,False,False
